"nombre","hora","temperatura","humedad","p_rocio","tiempo"
"1","Junin","26/10/2020 17:41",28,21,3.19,2020-10-26 17:41:00
"2","Tunuyán","26/10/2020 19:48",22.5,48,10.93,2020-10-26 19:48:00
"3","Agua Amarga","26/10/2020 18:58",24.6,33,6.94,2020-10-26 18:58:00
"4","Vista Flores","26/10/2020 19:45",21,35,4.52,2020-10-26 19:45:00
"5","Las Paredes","26/10/2020 18:21",26.3,21,1.82,2020-10-26 18:21:00
"6","La Llave","26/10/2020 18:20",28.1,8,NA,2020-10-26 18:20:00
"7","Aeródromo Gral Alvear","26/10/2020 18:28",27.7,9,NA,2020-10-26 18:28:00
"8","Perdriel","26/10/2020 17:47",23.2,12,-6.22,2020-10-26 17:47:00
"9","Jocolí","26/10/2020 17:49",28.7,11,-4.08,2020-10-26 17:49:00
"10","Russel","26/10/2020 17:49",26.9,14,-2.67,2020-10-26 17:49:00
"11","Montecaseros","26/10/2020 17:52",27.4,21,2.7,2020-10-26 17:52:00
"12","Las Violetas","26/10/2020 06:33",18.5,73,13.79,2020-10-26 06:33:00
"13","Los Campamentos","26/10/2020 17:54",27.6,10,-5.56,2020-10-26 17:54:00
"14","Bowen","26/10/2020 19:45",24.1,26,2.96,2020-10-26 19:45:00
"15","El Ceibo","26/10/2020 19:01",28.5,15,-0.83,2020-10-26 19:01:00
"16","Cuadro Benegas","26/10/2020 19:46",25.1,29,5.42,2020-10-26 19:46:00
"17","Palermo Chico","26/10/2020 19:46",24.5,19,-0.81,2020-10-26 19:46:00
"18","El Cerrito","26/10/2020 19:46",25.6,46,13.32,2020-10-26 19:46:00
"19","Colonia Las Rosas","26/10/2020 19:48",19.4,52,9.12,2020-10-26 19:48:00
"20","La Marzolina","26/10/2020 19:48",22.9,22,-0.2,2020-10-26 19:48:00
"21","La Escandinava","26/10/2020 19:49",24.9,16,-2.5,2020-10-26 19:49:00
"22","Dubois","26/10/2020 19:51",21.8,32,3.93,2020-10-26 19:51:00
